billing_id,appointment_id,amount,paid_amount,payment_status,outstanding_balance
1,1,418,418,Paid,0
2,2,113,113,Paid,0
3,3,633,633,Paid,0
4,4,521,521,Paid,0
5,5,95,95,Paid,0
6,6,261,261,Paid,0
7,7,635,635,Paid,0
8,8,190,190,Paid,0
9,9,112,112,Paid,0
10,10,626,626,Paid,0
11,11,276,14,Partial,262
12,12,753,753,Paid,0
13,13,783,783,Paid,0
14,14,761,761,Paid,0
15,15,665,665,Paid,0
16,16,458,458,Paid,0
17,17,100,100,Paid,0
18,18,822,0,Unpaid,822
19,19,413,413,Paid,0
20,20,721,721,Paid,0
21,21,475,278,Partial,197
22,22,323,323,Paid,0
23,23,262,262,Paid,0
24,24,887,887,Paid,0
25,25,232,40,Partial,192
26,26,348,348,Paid,0
27,27,63,63,Paid,0
28,28,473,473,Paid,0
29,29,995,995,Paid,0
30,30,155,155,Paid,0
31,31,520,520,Paid,0
32,32,268,268,Paid,0
33,33,531,531,Paid,0
34,34,705,705,Paid,0
35,35,434,434,Paid,0
36,36,132,132,Paid,0
37,37,85,85,Paid,0
38,38,422,422,Paid,0
39,39,572,572,Paid,0
40,40,559,559,Paid,0
41,41,471,471,Paid,0
42,42,521,521,Paid,0
43,43,533,0,Unpaid,533
44,44,183,183,Paid,0
45,45,338,338,Paid,0
46,46,473,473,Paid,0
47,47,191,191,Paid,0
48,48,280,280,Paid,0
49,49,455,455,Paid,0
50,50,670,670,Paid,0
51,51,567,567,Paid,0
52,52,857,857,Paid,0
53,53,159,44,Partial,115
54,54,260,260,Paid,0
55,55,891,891,Paid,0
56,56,610,0,Unpaid,610
57,57,643,643,Paid,0
58,58,364,0,Unpaid,364
59,59,798,798,Paid,0
60,60,683,683,Paid,0
61,61,321,321,Paid,0
62,62,665,665,Paid,0
63,63,286,0,Unpaid,286
64,64,306,306,Paid,0
65,65,232,232,Paid,0
66,66,118,0,Unpaid,118
67,67,312,185,Partial,127
68,68,623,623,Paid,0
69,69,268,268,Paid,0
70,70,273,56,Partial,217
71,71,872,872,Paid,0
72,72,354,192,Partial,162
73,73,94,94,Paid,0
74,74,157,0,Unpaid,157
75,75,242,242,Paid,0
76,76,615,615,Paid,0
77,77,759,0,Unpaid,759
78,78,499,499,Paid,0
79,79,271,271,Paid,0
80,80,925,925,Paid,0
81,81,197,197,Paid,0
82,82,997,997,Paid,0
83,83,741,741,Paid,0
84,84,571,0,Unpaid,571
85,85,78,78,Paid,0
86,86,408,408,Paid,0
87,87,641,641,Paid,0
88,88,989,121,Partial,868
